frame_id,label,class_id,surgical_content_ratio,surgery_proportion,tool_proportion,non_surgery_proportion
EGrBFKnq84_EGrBFKnq84_frame_0001.jpg,Uninformative,0,0.0023,0.0023,0,0.9977
EGrBFKnq84_EGrBFKnq84_frame_0002.jpg,Uninformative,0,0.0024,0.0024,0,0.9976
EGrBFKnq84_EGrBFKnq84_frame_0003.jpg,Uninformative,0,0.002,0.002,0,0.998
EGrBFKnq84_EGrBFKnq84_frame_0004.jpg,Highly Informative,2,0.9778,0.9404,0.0374,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0005.jpg,Highly Informative,2,0.9778,0.9305,0.0472,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0006.jpg,Highly Informative,2,0.9778,0.9357,0.042,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0007.jpg,Highly Informative,2,0.9778,0.9212,0.0566,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0008.jpg,Highly Informative,2,0.9778,0.9431,0.0346,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0009.jpg,Highly Informative,2,0.9778,0.9218,0.0559,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0010.jpg,Highly Informative,2,0.9778,0.8886,0.0892,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0011.jpg,Highly Informative,2,0.9778,0.8822,0.0956,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0012.jpg,Highly Informative,2,0.9778,0.9184,0.0594,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0013.jpg,Highly Informative,2,0.9778,0.9232,0.0546,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0014.jpg,Highly Informative,2,0.9778,0.9363,0.0415,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0015.jpg,Highly Informative,2,0.9778,0.9386,0.0392,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0016.jpg,Highly Informative,2,0.9778,0.9525,0.0252,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0017.jpg,Highly Informative,2,0.9778,0.9322,0.0456,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0018.jpg,Highly Informative,2,0.9778,0.9375,0.0403,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0019.jpg,Highly Informative,2,0.9778,0.9361,0.0416,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0020.jpg,Highly Informative,2,0.9778,0.9355,0.0423,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0021.jpg,Highly Informative,2,0.9778,0.9302,0.0476,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0022.jpg,Highly Informative,2,0.9778,0.9318,0.046,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0023.jpg,Highly Informative,2,0.9778,0.937,0.0407,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0024.jpg,Highly Informative,2,0.9778,0.9272,0.0506,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0025.jpg,Highly Informative,2,0.9778,0.93,0.0477,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0026.jpg,Highly Informative,2,0.9778,0.9319,0.0459,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0027.jpg,Highly Informative,2,0.9778,0.9309,0.0469,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0028.jpg,Highly Informative,2,0.9778,0.951,0.0268,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0029.jpg,Highly Informative,2,0.9778,0.9473,0.0305,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0030.jpg,Highly Informative,2,0.9778,0.9382,0.0396,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0031.jpg,Highly Informative,2,0.9778,0.936,0.0417,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0032.jpg,Highly Informative,2,0.9778,0.9428,0.0349,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0033.jpg,Highly Informative,2,0.9778,0.9328,0.045,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0034.jpg,Highly Informative,2,0.9778,0.9266,0.0512,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0035.jpg,Highly Informative,2,0.9778,0.9231,0.0547,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0036.jpg,Highly Informative,2,0.9778,0.9475,0.0302,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0037.jpg,Highly Informative,2,0.9778,0.9653,0.0125,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0038.jpg,Highly Informative,2,0.9778,0.9294,0.0484,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0039.jpg,Highly Informative,2,0.9778,0.9425,0.0353,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0040.jpg,Highly Informative,2,0.9778,0.9449,0.0329,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0041.jpg,Highly Informative,2,0.9778,0.9417,0.036,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0042.jpg,Highly Informative,2,0.9778,0.941,0.0368,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0043.jpg,Highly Informative,2,0.9778,0.9342,0.0436,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0044.jpg,Highly Informative,2,0.9778,0.9419,0.0358,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0045.jpg,Highly Informative,2,0.9778,0.9268,0.0509,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0046.jpg,Highly Informative,2,0.9778,0.9236,0.0542,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0047.jpg,Highly Informative,2,0.9778,0.919,0.0587,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0048.jpg,Highly Informative,2,0.9778,0.9072,0.0706,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0049.jpg,Highly Informative,2,0.9778,0.9464,0.0314,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0050.jpg,Highly Informative,2,0.9778,0.9178,0.06,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0051.jpg,Highly Informative,2,0.9778,0.936,0.0417,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0052.jpg,Highly Informative,2,0.9778,0.9446,0.0332,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0053.jpg,Highly Informative,2,0.9778,0.9436,0.0342,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0054.jpg,Highly Informative,2,0.9778,0.9399,0.0379,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0055.jpg,Highly Informative,2,0.9778,0.8694,0.1084,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0056.jpg,Highly Informative,2,0.9778,0.8999,0.0778,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0057.jpg,Highly Informative,2,0.9778,0.9465,0.0313,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0058.jpg,Highly Informative,2,0.9778,0.9379,0.0399,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0059.jpg,Highly Informative,2,0.9778,0.9266,0.0512,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0060.jpg,Highly Informative,2,0.9778,0.9383,0.0394,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0061.jpg,Highly Informative,2,0.9778,0.9302,0.0475,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0062.jpg,Highly Informative,2,0.9778,0.9526,0.0251,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0063.jpg,Highly Informative,2,0.9778,0.9476,0.0301,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0064.jpg,Highly Informative,2,0.9778,0.9375,0.0402,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0065.jpg,Highly Informative,2,0.9778,0.9426,0.0352,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0066.jpg,Highly Informative,2,0.9778,0.9155,0.0622,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0067.jpg,Highly Informative,2,0.9778,0.9226,0.0552,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0068.jpg,Highly Informative,2,0.9778,0.9245,0.0532,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0069.jpg,Highly Informative,2,0.9778,0.9291,0.0486,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0070.jpg,Highly Informative,2,0.9778,0.9428,0.0349,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0071.jpg,Highly Informative,2,0.9778,0.8995,0.0783,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0072.jpg,Highly Informative,2,0.9778,0.9156,0.0621,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0073.jpg,Highly Informative,2,0.9778,0.9323,0.0455,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0074.jpg,Highly Informative,2,0.9778,0.8781,0.0997,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0075.jpg,Highly Informative,2,0.9778,0.9204,0.0574,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0076.jpg,Highly Informative,2,0.9778,0.9379,0.0399,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0077.jpg,Highly Informative,2,0.9778,0.9323,0.0454,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0078.jpg,Highly Informative,2,0.9778,0.9342,0.0435,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0079.jpg,Highly Informative,2,0.9778,0.9279,0.0498,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0080.jpg,Highly Informative,2,0.9778,0.9081,0.0696,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0081.jpg,Highly Informative,2,0.9778,0.8702,0.1076,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0082.jpg,Highly Informative,2,0.9778,0.9416,0.0361,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0083.jpg,Highly Informative,2,0.9778,0.9126,0.0652,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0084.jpg,Highly Informative,2,0.9778,0.9139,0.0638,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0085.jpg,Highly Informative,2,0.9778,0.9161,0.0617,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0086.jpg,Highly Informative,2,0.9778,0.8973,0.0805,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0087.jpg,Highly Informative,2,0.9778,0.8936,0.0842,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0088.jpg,Highly Informative,2,0.9778,0.8916,0.0862,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0089.jpg,Highly Informative,2,0.9778,0.8951,0.0826,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0090.jpg,Highly Informative,2,0.9778,0.9029,0.0748,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0091.jpg,Highly Informative,2,0.9778,0.9137,0.064,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0092.jpg,Highly Informative,2,0.9778,0.9033,0.0745,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0093.jpg,Highly Informative,2,0.9778,0.9105,0.0673,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0094.jpg,Highly Informative,2,0.9778,0.9097,0.0681,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0095.jpg,Highly Informative,2,0.9778,0.9036,0.0741,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0096.jpg,Highly Informative,2,0.9778,0.8983,0.0795,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0097.jpg,Highly Informative,2,0.9778,0.9063,0.0714,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0098.jpg,Highly Informative,2,0.9778,0.9281,0.0496,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0099.jpg,Highly Informative,2,0.9778,0.9213,0.0564,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0100.jpg,Highly Informative,2,0.9778,0.8899,0.0879,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0101.jpg,Highly Informative,2,0.9778,0.9212,0.0565,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0102.jpg,Highly Informative,2,0.9778,0.9438,0.034,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0103.jpg,Highly Informative,2,0.9778,0.9229,0.0548,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0104.jpg,Highly Informative,2,0.9778,0.9351,0.0427,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0105.jpg,Highly Informative,2,0.9778,0.8995,0.0782,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0106.jpg,Highly Informative,2,0.9778,0.9046,0.0731,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0107.jpg,Highly Informative,2,0.9778,0.9227,0.055,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0108.jpg,Highly Informative,2,0.9778,0.9073,0.0705,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0109.jpg,Highly Informative,2,0.9778,0.9327,0.045,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0110.jpg,Highly Informative,2,0.9778,0.9227,0.0551,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0111.jpg,Highly Informative,2,0.9778,0.9327,0.045,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0112.jpg,Highly Informative,2,0.9778,0.9305,0.0473,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0113.jpg,Highly Informative,2,0.9778,0.9147,0.063,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0114.jpg,Highly Informative,2,0.9778,0.9252,0.0526,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0115.jpg,Highly Informative,2,0.9778,0.8959,0.0819,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0116.jpg,Highly Informative,2,0.9778,0.8694,0.1084,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0117.jpg,Highly Informative,2,0.9778,0.8863,0.0914,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0118.jpg,Highly Informative,2,0.9778,0.9059,0.0719,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0119.jpg,Highly Informative,2,0.9778,0.9012,0.0765,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0120.jpg,Highly Informative,2,0.9778,0.8984,0.0794,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0121.jpg,Highly Informative,2,0.9778,0.8758,0.102,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0122.jpg,Highly Informative,2,0.9778,0.9299,0.0479,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0123.jpg,Highly Informative,2,0.9778,0.9452,0.0326,0.0222
EGrBFKnq84_EGrBFKnq84_frame_0124.jpg,Highly Informative,2,0.9778,0.9032,0.0746,0.0222
